Stock1,Stock2
TURSG.csv,GOKNR.csv
TURSG.csv,TSKB.csv
TURSG.csv,ENTRA.csv
TURSG.csv,BRYAT.csv
TURSG.csv,DOAS.csv
TURSG.csv,A1CAP.csv
TURSG.csv,TAVHL.csv
TURSG.csv,AEFES.csv
TURSG.csv,SKBNK.csv
TURSG.csv,SAHOL.csv
TURSG.csv,CIMSA.csv
TURSG.csv,ISCTR.csv
TURSG.csv,BIOEN.csv
TURSG.csv,ULKER.csv
TURSG.csv,HEKTS.csv
TURSG.csv,OYAKC.csv
TURSG.csv,TUPRS.csv
TURSG.csv,KONTR.csv
TURSG.csv,BUCIM.csv
TURSG.csv,OBAMS.csv
TURSG.csv,FROTO.csv
TURSG.csv,YYLGD.csv
TURSG.csv,KZGYO.csv
TURSG.csv,AFYON.csv
TURSG.csv,KCAER.csv
TURSG.csv,GWIND.csv
TURSG.csv,ASTOR.csv
TURSG.csv,ANSGR.csv
TURSG.csv,ISMEN.csv
TURSG.csv,KAYSE.csv
TURSG.csv,ASELS.csv
TURSG.csv,DOHOL.csv
TURSG.csv,KCHOL.csv
TURSG.csv,ENKAI.csv
TURSG.csv,BERA.csv
TURSG.csv,AGROT.csv
TURSG.csv,BINHO.csv
TURSG.csv,MAVI.csv
TURSG.csv,HALKB.csv
TURSG.csv,ALBRK.csv
TURSG.csv,ARDYZ.csv
TURSG.csv,KMPUR.csv
TURSG.csv,TTKOM.csv
TURSG.csv,OTKAR.csv
TURSG.csv,EUPWR.csv
TURSG.csv,SOKM.csv
TURSG.csv,ALARK.csv
TURSG.csv,KORDS.csv
TURSG.csv,TTRAK.csv
TURSG.csv,CCOLA.csv
TURSG.csv,YEOTK.csv
AKSA.csv,VAKBN.csv
AKSA.csv,BIMAS.csv
AKSA.csv,ECILC.csv
AKSA.csv,VESTL.csv
AKSA.csv,EGEEN.csv
AKSA.csv,SISE.csv
AKSA.csv,EREGL.csv
AKSA.csv,VESBE.csv
AKSA.csv,PETKM.csv
AKSA.csv,AKFGY.csv
AKSA.csv,AKSEN.csv
AKSA.csv,GARAN.csv
AKSA.csv,AKFYE.csv
AKSA.csv,TKFEN.csv
AKSA.csv,ALFAS.csv
AKSA.csv,CANTE.csv
AKSA.csv,KLSER.csv
AKSA.csv,ARCLK.csv
AKSA.csv,MGROS.csv
AKSA.csv,ODAS.csv
AKSA.csv,SASA.csv
AKSA.csv,KRDMD.csv
AKSA.csv,AHGAZ.csv
AKSA.csv,TOASO.csv
AKSA.csv,AGESA.csv
AKSA.csv,CWENE.csv
AKSA.csv,AKBNK.csv
AKSA.csv,AKCNS.csv
AKSA.csv,EKGYO.csv
